query,group,time,follower 1,leader,follower 2
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:30:35.000Z,22.24970055,26.03594017,19.72454071
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:30:40.000Z,23.45940971,27.16596031,19.73716927
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:30:50.000Z,25.87885094,27.05364037,19.76244926
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:30:55.000Z,30.1201992,26.99748039,18.06151962
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:31:05.000Z,38.60289001,24.8014698,14.65966988
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:31:10.000Z,33.05942917,23.70347023,19.78528976
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:31:20.000Z,21.97250938,32.66949844,30.03653908
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:31:25.000Z,23.35186958,37.15251923,23.86718941
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:31:35.000Z,26.11058044,29.79087067,11.52851009
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:31:40.000Z,26.72797966,26.11004066,13.70306015
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:31:50.000Z,27.96278,25.8194294,18.05216026
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:31:55.000Z,26.6421299,25.67411995,19.69716072
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:32:05.000Z,24.00085068,26.90356064,22.98716927
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:32:10.000Z,21.92443085,27.51828003,22.6501503
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:32:20.000Z,17.77157974,27.84972,21.97612
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:32:25.000Z,21.36935043,28.01544952,17.71763039
system.cpu.user,host:i-0d3080a3c4eef0add;(host:i-0d3080a3c4eef0add OR host:i-0d9090a590ca3803e OR host:i-0ddb26178fdc06882),2020-11-24T19:32:35.000Z,28.56488991,27.04673958,9.200655937
